"","cdd","hdd","city","longitude","latitude"
"1",1105,4750,"New York",-74.0059413,40.7127837
"2",1247,1083,"Los Angeles",-118.2436849,34.0522342
"3",651,5579,"Chicago",-87.6297982,41.8781136
"4",2080,1237,"Houston",-95.3698028,29.7604267
"5",726,4350,"Philadelphia",-75.1652215,39.9525839
"6",4567,868,"Phoenix",-112.0740373,33.4483771
"7",3663,1410,"San Antonio",-98.4936282,29.4241219
"8",1816,1226,"San Diego",-117.1610838,32.715738
"9",2410,2135,"Dallas",-96.7969879,32.7766642
"10",848,2257,"San Jose",-121.8863286,37.3382082
"11",2945,1540,"Austin",-97.7430608,30.267153
"12",778,5776,"Indianapolis",-86.158068,39.768403
"13",3009,1097,"Jacksonville",-81.655651,30.3321838
"14",885,2909,"San Francisco",-122.4194155,37.7749295
"15",922,5473,"Columbus",-82.9987942,39.9611755
"16",2169,3390,"Charlotte",-80.8431267,35.2270869
"17",2206,2373,"Fort Worth",-97.3307658,32.7554883
"18",816,6168,"Detroit",-83.0457538,42.331427
"19",2278,2473,"El Paso",-106.4424559,31.7775757
"20",2274,2965,"Memphis",-90.0489801,35.1495343
"21",339,4370,"Seattle",-122.3320708,47.6062095
"22",1,5461,"Denver",-104.990251,39.7392358
"23",1207,4178,"Washington",-77.0368707,38.9071923
"24",492,5681,"Boston",-71.0588801,42.3600825
"25",2751,3688,"Nashville-Davidson",-86.7816016,36.1626638
"26",1145,3444,"Baltimore",-76.6121893,39.2903848
"27",1851,3365,"Oklahoma City",-97.5164276,35.4675602
"28",1614,4097,"Louisville/Jefferson County",-85.7584557,38.2526647
"29",496,4235,"Portland",-122.6764816,45.5230622
"30",3294,2045,"Las Vegas",-115.1398296,36.1699412
"31",459,6689,"Milwaukee",-87.9064736,43.0389025
"32",1804,4180,"Albuquerque",-106.6055534,35.0853336
"33",3566,1391,"Tucson",-110.926479,32.2217429
"34",2124,2346,"Fresno",-119.7725868,36.7468422
"35",469,2301,"Sacramento",-121.4943996,38.5815719
"36",1700,1217,"Long Beach",-118.1937395,33.7700504
"37",1238,4686,"Kansas City",-94.5785667,39.0997265
"38",731,1268,"Mesa",-111.8314724,33.4151843
"39",1910,3397,"Virginia Beach",-75.977985,36.8529263
"40",927,2880,"Atlanta",-84.3879824,33.7489954
"41",455,6292,"Colorado Springs",-104.8213634,38.8338816
"42",691,6167,"Omaha",-95.9979883,41.2523634
"43",1655,3294,"Raleigh",-78.6381787,35.7795897
"44",4249,145,"Miami",-80.1917902,25.7616798
"45",429,2363,"Oakland",-122.2711137,37.8043637
"46",393,7383,"Minneapolis",-93.2650108,44.977753
"47",2825,3574,"Tulsa",-95.992775,36.1539816
"48",700,5438,"Cleveland",-81.6943605,41.49932
"49",1453,4592,"Wichita",-97.336111,37.688889
"50",2419,2486,"Arlington",-97.1080656,32.735687
"51",2359,1261,"New Orleans",-90.0715323,29.9510658
"52",1545,2173,"Bakersfield",-119.0187125,35.3732921
"53",4021,539,"Tampa",-82.4571776,27.950575
"54",3187,4,"Honolulu",-157.8583333,21.3069444
"55",318,6068,"Aurora",-104.8319195,39.7294319
"56",288,1225,"Anaheim",-117.9145036,33.8352932
"57",1399,1004,"Santa Ana",-117.8678338,33.7455731
"58",1451,4471,"St. Louis",-90.1994042,38.6270025
"59",740,1286,"Riverside",-117.3961564,33.9533487
"60",3615,899,"Corpus Christi",-97.396381,27.8005828
"61",1191,4610,"Lexington-Fayette",-84.5037164,38.0405837
"62",360,5563,"Pittsburgh",-79.9958864,40.4406248
"63",4,10068,"Anchorage",-149.9002778,61.2180556
"64",72,2389,"Stockton",-121.2907796,37.9577016
"65",1067,4957,"Cincinnati",-84.5120196,39.1031182
"66",1209,7298,"St. Paul",-93.0899578,44.9537029
"67",834,5782,"Toledo",-83.555212,41.6639383
"68",1440,3617,"Greensboro",-79.7919754,36.0726354
"69",530,4870,"Newark",-74.1723667,40.735657
"70",4289,2416,"Plano",-96.6988856,33.0198431
"71",888,2180,"Henderson",-114.9817213,36.0395247
"72",750,6079,"Lincoln",-96.6851982,40.8257625
"73",597,6617,"Buffalo",-78.8783689,42.8864468
"74",530,4870,"Jersey City",-74.0776417,40.7281575
"75",213,1265,"Chula Vista",-117.0841955,32.6400541
"76",662,6102,"Fort Wayne",-85.1393513,41.079273
